
2025/01/11 (20:18:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/11 (20:18:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (20:19:05) | ===> btop++ v.1.4.0
2025/01/11 (20:19:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/11 (20:19:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (20:19:17) | ===> btop++ v.1.4.0
2025/01/11 (20:19:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/11 (20:19:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (06:21:59) | ===> btop++ v.1.4.0
2025/01/13 (06:21:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/13 (06:21:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (23:03:54) | ===> btop++ v.1.4.0
2025/01/13 (23:03:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/13 (23:03:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (23:18:38) | ===> btop++ v.1.4.0
2025/01/13 (23:18:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/13 (23:18:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (00:00:55) | ===> btop++ v.1.4.0
2025/01/14 (00:00:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/14 (00:00:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (05:51:04) | ===> btop++ v.1.4.0
2025/01/15 (05:51:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/15 (05:51:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (05:56:50) | ===> btop++ v.1.4.0
2025/01/15 (05:56:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/15 (05:56:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (08:56:29) | ===> btop++ v.1.4.0
2025/01/15 (08:56:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/15 (08:56:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (08:58:43) | ===> btop++ v.1.4.0
2025/01/15 (08:58:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/15 (08:58:43) | WARNING: Intel GPU: Failed to initialize PMU
